Successfuly read failed26/ADGRA3.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/CCRL2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CCS.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CCSAP.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CCSER1.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/CCSER2.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CCT2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CCT3.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CCT4.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CCT5.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CCT6A.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CCT6B.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/CCT7.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CCT8.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CCT8L2.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/CCZ1.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CCZ1B.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CD101.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CD109.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CD14.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CD151.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CD160.fas, in total 263 sequences.
Successfuly read hg38_species_name_cleaned/CD163.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CD163L1.fas, in total 82 sequences.
Successfuly read hg38_species_name_cleaned/CD164.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CD164L2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CD177.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CD180.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CD19.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CD1D.fas, in total 353 sequences.
Successfuly read hg38_species_name_cleaned/CD2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CD200.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CD207.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/CD22.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CD226.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CD24.fas, in total 247 sequences.
Successfuly read hg38_species_name_cleaned/CD244.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/CD247.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CD248.fas, in total 344 sequences.
Successfuly read hg38_species_name_cleaned/CD27.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CD274.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CD276.fas, in total 309 sequences.
Successfuly read hg38_species_name_cleaned/CD28.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CD2AP.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CD2BP2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CD300A.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/CD300E.fas, in total 335 sequences.
Successfuly read hg38_species_name_cleaned/CD300LB.fas, in total 390 sequences.
Successfuly read hg38_species_name_cleaned/CD300LF.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CD300LG.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CD302.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CD320.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/CD34.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CD36.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CD37.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CD38.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CD3D.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/CD3E.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/CD3G.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CD4.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CD40.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CD40LG.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CD44.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CD47.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CD48.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CD5.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CD52.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CD53.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CD55.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/CD58.fas, in total 340 sequences.
Successfuly read hg38_species_name_cleaned/CD59.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CD5L.fas, in total 394 sequences.
Successfuly read hg38_species_name_cleaned/CD6.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CD63.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CD68.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CD69.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CD7.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/CD70.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/CD72.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CD74.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CD79A.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CD79B.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CD80.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CD81.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CD82.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CD83.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CD84.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CD86.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CD8A.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/CD8B.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CD8B2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CD9.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/CD93.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/CD96.fas, in total 388 sequences.
Successfuly read hg38_species_name_cleaned/CD99.fas, in total 297 sequences.
Successfuly read hg38_species_name_cleaned/CD99L2.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/CDA.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDADC1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDAN1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDC123.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CDC14A.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CDC14B.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDC14C.fas, in total 51 sequences.
Successfuly read hg38_species_name_cleaned/CDC16.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDC20.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CDC20B.fas, in total 365 sequences.
Successfuly read hg38_species_name_cleaned/CDC23.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDC25A.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDC25B.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CDC25C.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/CDC26.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDC27.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDC34.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CDC37.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CDC37L1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDC40.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDC42.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDC42BPB.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDC42BPG.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDC42EP1.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/CDC42EP2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CDC42EP3.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDC42EP4.fas, in total 399 sequences.
Successfuly read hg38_species_name_cleaned/CDC42EP5.fas, in total 353 sequences.
Successfuly read hg38_species_name_cleaned/CDC42SE1.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/CDC42SE2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDC45.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDC5L.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDC6.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CDC7.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CDC73.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDCA2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDCA3.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CDCA4.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/CDCA5.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/CDCA7.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CDCA7L.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDCA8.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDCP1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CDCP2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDH1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDH10.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CDH11.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDH12.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CDH13.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CDH15.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CDH16.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDH17.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CDH18.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/CDH19.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDH2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CDH20.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDH22.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CDH23.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDH24.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CDH26.fas, in total 300 sequences.
Successfuly read hg38_species_name_cleaned/CDH3.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDH4.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/CDH5.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDH6.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDH7.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CDH8.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDH9.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CDHR1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CDHR2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDHR3.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/CDHR4.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/CDHR5.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/CDIN1.fas, in total 390 sequences.
Successfuly read hg38_species_name_cleaned/CDIP1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDIPT.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDK1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CDK10.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDK11A.fas, in total 222 sequences.
Successfuly read hg38_species_name_cleaned/CDK11B.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/CDK12.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CDK13.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CDK14.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDK15.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CDK16.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDK17.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDK18.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CDK19.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDK2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDK20.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/CDK2AP1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CDK2AP2.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDK3.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/CDK4.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDK5.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDK5R1.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/CDK5R2.fas, in total 356 sequences.
Successfuly read hg38_species_name_cleaned/CDK5RAP1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDK5RAP2.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CDK5RAP3.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CDK6.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDK7.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDK8.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CDK9.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDKAL1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDKL1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDKL2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CDKL3.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CDKL4.fas, in total 401 sequences.
Successfuly read hg38_species_name_cleaned/CDKL5.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CDKN1A.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CDKN1B.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDKN1C.fas, in total 335 sequences.
Successfuly read hg38_species_name_cleaned/CDKN2A.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/CDKN2AIP.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CDKN2AIPNL.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CDKN2B.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/CDKN2C.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDKN2D.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CDKN3.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CDNF.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDO1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CDON.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CDPF1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CDR1.fas, in total 83 sequences.
Successfuly read hg38_species_name_cleaned/CDR2.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/CDR2L.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/CDRT1.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CDRT4.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CDS1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CDS2.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CDSN.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CDT1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CDV3.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CDX1.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/CDX2.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/CDX4.fas, in total 333 sequences.
Successfuly read hg38_species_name_cleaned/CDYL.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CDYL2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CEACAM16.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CEACAM18.fas, in total 262 sequences.
Successfuly read hg38_species_name_cleaned/CEACAM19.fas, in total 353 sequences.
Successfuly read hg38_species_name_cleaned/CEACAM20.fas, in total 327 sequences.
Successfuly read hg38_species_name_cleaned/CEBPA.fas, in total 367 sequences.
Successfuly read hg38_species_name_cleaned/CEBPB.fas, in total 337 sequences.
Successfuly read hg38_species_name_cleaned/CEBPD.fas, in total 347 sequences.
Successfuly read hg38_species_name_cleaned/CEBPE.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CEBPG.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CEBPZ.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CEBPZOS.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CECR2.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/CEL.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/CELA1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CELA2A.fas, in total 336 sequences.
Successfuly read hg38_species_name_cleaned/CELA2B.fas, in total 319 sequences.
Successfuly read hg38_species_name_cleaned/CELA3A.fas, in total 355 sequences.
Successfuly read hg38_species_name_cleaned/CELA3B.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/CELF1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CELF2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CELF3.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CELF4.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CELF5.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/CELF6.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CELSR2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CELSR3.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CEMIP.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/CEMIP2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CEMP1.fas, in total 77 sequences.
Successfuly read hg38_species_name_cleaned/CENATAC.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CEND1.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CENPA.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CENPB.fas, in total 332 sequences.
Successfuly read hg38_species_name_cleaned/CENPBD1.fas, in total 287 sequences.
Successfuly read hg38_species_name_cleaned/CENPC.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CENPE.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/CENPH.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CENPI.fas, in total 386 sequences.
Successfuly read hg38_species_name_cleaned/CENPJ.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/CENPK.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/CENPL.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CENPM.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CENPN.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CENPO.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CENPP.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/CENPQ.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CENPS.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CENPT.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/CENPU.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CENPV.fas, in total 333 sequences.
Successfuly read hg38_species_name_cleaned/CENPVL1.fas, in total 86 sequences.
Successfuly read hg38_species_name_cleaned/CENPVL2.fas, in total 74 sequences.
Successfuly read hg38_species_name_cleaned/CENPVL3.fas, in total 104 sequences.
Successfuly read hg38_species_name_cleaned/CENPW.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/CENPX.fas, in total 275 sequences.
Successfuly read hg38_species_name_cleaned/CEP104.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CEP112.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CEP120.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CEP126.fas, in total 398 sequences.
Successfuly read hg38_species_name_cleaned/CEP128.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CEP131.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/CEP135.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CEP152.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CEP162.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CEP164.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CEP170.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CEP170B.fas, in total 371 sequences.
Successfuly read hg38_species_name_cleaned/CEP19.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CEP192.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CEP20.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CEP250.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CEP290.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CEP295.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/CEP295NL.fas, in total 332 sequences.
Successfuly read hg38_species_name_cleaned/CEP350.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CEP41.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CEP43.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CEP44.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CEP55.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CEP57.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CEP57L1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CEP63.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CEP68.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CEP70.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CEP72.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CEP76.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CEP78.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CEP83.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CEP85.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CEP85L.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CEP89.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CEP95.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CEP97.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CEPT1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CER1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CERCAM.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CERK.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/CERKL.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CERS1.fas, in total 362 sequences.
Successfuly read hg38_species_name_cleaned/CERS2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CERS3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CERS4.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CERS5.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CERS6.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CERT1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CES3.fas, in total 314 sequences.
Successfuly read hg38_species_name_cleaned/CES4A.fas, in total 264 sequences.
Successfuly read hg38_species_name_cleaned/CES5A.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/CETN1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CETN2.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CETN3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CETP.fas, in total 124 sequences.
Successfuly read hg38_species_name_cleaned/CFAP100.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CFAP126.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CFAP157.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CFAP161.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/CFAP20.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CFAP206.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CFAP20DC.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CFAP221.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CFAP251.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CFAP298.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CFAP299.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CFAP300.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CFAP36.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/CFAP410.fas, in total 271 sequences.
Successfuly read hg38_species_name_cleaned/CFAP43.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CFAP44.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CFAP45.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CFAP46.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/CFAP47.fas, in total 350 sequences.
Successfuly read hg38_species_name_cleaned/CFAP52.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CFAP53.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CFAP54.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CFAP57.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CFAP58.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CFAP61.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CFAP65.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CFAP69.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CFAP70.fas, in total 431 sequences.
